CodCanton;NomCanton;PoblacionCant;CodProvincia;
1Can;CUENCA;505.585;1Pro;
2Can;ATACAMES;41.526;2Pro;
3Can;SANTA ELENA;144.076;3Pro;
4Can;QUITO;2.239.191;4Pro;
5Can;GUAYAQUIL;2.350.915;5Pro;
6Can;LIMÓN INDANZA;9.722;6Pro;
7Can;TENA;60.880;7Pro;
8Can;MORONA;41.155;6Pro;
9Can;SANTA ISABEL;2.256;1Pro;
10Can;GUALACEO;42.709;1Pro;
11Can;PASTAZA;62.016;8Pro;
12Can;RUMIÑAHUI;85.852;4Pro;
13Can;NARANJAL;69.012;5Pro;
14Can;LA JOYA DE LOS SACHAS;37.591;9Pro;
15Can;PASAJE;72.806;10Pro;
16Can;GIRÓN;12.607;1Pro;
17Can;HUAQUILLAS;48.285;10Pro;
18Can;IBARRA;181.175;24Pro;
19Can;SANTIAGO;9.295;6Pro;
20Can;CHORDELEG;12.577;1Pro;
21Can;SUCÚA;18.318;6Pro;
22Can;EL CHACO;7.960;7Pro;
23Can;SEVILLA DE ORO;5.889;1Pro;
24Can;LOGROÑO;5.723;6Pro;
25Can;SALINAS;68.675;3Pro;
26Can;LOJA;214.855;11Pro;
27Can;GUALAQUIZA;17.162;6Pro;
28Can;MANTA;226.477;12Pro;
29Can;ZAMORA;25.510;13Pro;
30Can;AZOGUES;70.064;15Pro;
31Can;ORELLANA;72.795;9Pro;
32Can;PALORA;6.936;6Pro;
33Can;SANTA CRUZ;15.393;14Pro;
34Can;OÑA;3.583;1Pro;
35Can;PAUTE;25.494;1Pro;
36Can;PUERTO QUITO;20.445;4Pro;
37Can;SIGSIG;26.910;1Pro;
38Can;LA TRONCAL;54.389;15Pro;
39Can;MACHALA;245.972;10Pro;
40Can;VINCES;71.736;16Pro;
41Can;BIBLIÁN;20.817;15Pro;
42Can;AMBATO;329.856;17Pro;
43Can;PUERTO LÓPEZ;20.451;12Pro;
44Can;SHUSHUFINDI;44.328;18Pro;
45Can;MONTÚFAR;30.511;19Pro;
46Can;SAN JUAN BOSCO;3.908;6Pro;
47Can;GUARANDA;91.877;20Pro;
48Can;EL TRIUNFO;44.778;5Pro;
49Can;ISABELA;2.256;14Pro;
50Can;SAMBORONDÓN;67.590;5Pro;
51Can;SAN FERNANDO;3.993;1Pro;
52Can;PEDERNALES;55.128;12Pro;
53Can;SANTO DOMINGO;368.013;21Pro;
54Can;RIOBAMBA;225.741;22Pro;
55Can;CAYAMBE;85.795;4Pro;
56Can;CAÑAR;59.323;15Pro;
57Can;GUACHAPALA;3.409;1Pro;
58Can;SANTIAGO DE PÍLLARO;38.357;17Pro;
59Can;PUCARÁ;10.052;1Pro;
60Can;MEJÍA;81.335;4Pro;
61Can;NABÓN;15.892;1Pro;
62Can;PAJÁN;37.073;12Pro;
63Can;EL PAN;3.036;1Pro;
64Can;CHINCHIPE;9.119;13Pro;
65Can;PEDRO VICENTE MALDONADO;12.924;4Pro;
66Can;MUISNE;28.474;2Pro;
67Can;TIWINTZA;6.995;6Pro;
68Can;CAMILO PONCE ENRÍQUEZ;21.998;1Pro;
69Can;ZARUMA;24.097;10Pro;
70Can;LATACUNGA;170.489;23Pro;
71Can;QUEVEDO;173.575;16Pro;
72Can;JIPIJAPA;71.083;12Pro;
73Can;SUCRE;57.159;12Pro;
74Can;ARENILLAS;26.844;10Pro;
75Can;LAGO AGRIO;91.744;18Pro;
76Can;DELEG;6.100;15Pro;
77Can;EL TAMBO;9.475;15Pro;
78Can;ECHEANDÍA;12.114;20Pro;
79Can;MILAGRO;166.634;5Pro;
80Can;CASCALES;11.104;18Pro;
81Can;CHIMBO;15.779;20Pro;
82Can;CALUMA;13.129;20Pro;
83Can;LORETO;21.163;9Pro;
84Can;LA CONCORDIA;42.924;21Pro;
85Can;PORTOVIEJO;280.029;12Pro;
86Can;SAN VICENTE;22.025;12Pro;
87Can;BABAHOYO;153.776;16Pro;
88Can;PIÑAS;25.988;10Pro;
89Can;SAN MIGUEL;27.244;20Pro;
90Can;LAS NAVES;6.092;20Pro;
91Can;BAÑOS DE AGUA SANTA;20.018;17Pro;
92Can;CHILLANES;17.406;20Pro;
93Can;ESMERALDAS;189.504;2Pro;
94Can;COTACACHI;40.036;24Pro;
95Can;SAN CRISTÓBAL;7.475;14Pro;
96Can;PABLO SEXTO;1.823;6Pro;
97Can;SARAGURO;30.183;11Pro;
98Can;MERA;11.861;8Pro;
99Can;YANTZAZA;18.675;13Pro;
100Can;CATAMAYO;30.638;11Pro;
101Can;LA LIBERTAD;95.942;3Pro;
102Can;SUSCAL;5.016;15Pro;
103Can;NARANJITO;37.186;5Pro;
104Can;DURÁN;235.769;5Pro;
105Can;TULCÁN;86.498;19Pro;
106Can;QUININDÉ;122.570;2Pro;
107Can;MONTECRISTI;70.294;12Pro;
108Can;SAN MIGUEL DE LOS BANCOS;17.573;4Pro;
109Can;SAN MIGUEL DE URCUQUÍ;15.671;24Pro;
110Can;PUTUMAYO;91.744;18Pro;
111Can;SAN PEDRO DE HUACA;8.000;19Pro;
112Can;OTAVALO;39.354;24Pro;
113Can;ANTONIO ANTE;45.184;24Pro;
114Can;ESPEJO;13.515;19Pro;
115Can;SUCUMBÍOS;230.503;18Pro;
116Can;SIGCHOS;1.272;23Pro;
117Can;LA MANÁ;17.276;23Pro;
118Can;PUJILÍ;69.055;23Pro;
119Can;PANGUA;22.289;23Pro;
120Can;SALCEDO;57.528;23Pro;
121Can;QUIJOS;6.645;7Pro;
122Can;SAN LORENZO;42.486;2Pro;
123Can;SAQUISILÍ;5.234;23Pro;
124Can;CUYABENO;7.133;18Pro;
125Can;GUAMOTE;1.912;22Pro;
126Can;QUERO;18.000;17Pro;
127Can;EL PANGUI;8.619;13Pro;
128Can;AGUARICO;4.847;9Pro;
129Can;CHAMBO;7.426;22Pro;
130Can;ALAUSÍ;5.563;22Pro;
131Can;COLTA;44.971;22Pro;
132Can;GUANO;42.851;22Pro;
133Can;SANTA ROSA;69.036;10Pro;
134Can;JAMA;23.253;12Pro;
135Can;CUMANDÁ;5.411;22Pro;
136Can;CHUNCHI;12.686;17Pro;
137Can;PALLATANGA;12.000;22Pro;
138Can;GENERAL ANTONIO ELIZALDE;13.156;5Pro;
139Can;SAN PEDRO DE PELILEO;56.573;17Pro;
140Can;SANTA ELENA ;401.178;3Pro;
141Can;MACARÁ;25.901;11Pro;
142Can;EL GUABO;50.009;10Pro;
143Can;BALSAS;6.861;10Pro;
144Can;MARCABELÍ;5.450;10Pro;
145Can;GONZALO PIZARRO;8.599;18Pro;
146Can;ZAMORA (ZAMORA, CAB CANTONAL Y CAPITAL PROVINCIAL);25.510;13Pro;
147Can;PORTOVELO;12.200;10Pro;
148Can;LAS LAJAS;4.794;10Pro;
149Can;TISALEO;12.137;17Pro;
150Can;BALAO;26.348;5Pro;
151Can;PINDAL;8.645;11Pro;
152Can;ATAHUALPA;5.833;10Pro;
153Can;ARCHIDONA;24.696;7Pro;
154Can;PUYANGO;7.678;11Pro;
155Can;ELOY ALFARO;40.000;2Pro;
156Can;RIO VERDE;31.992;17Pro;
157Can;PLAYAS;59.628;5Pro;
158Can;SANTA CLARA;3.565;8Pro;
159Can;TOSAGUA;36.000;12Pro;
160Can;ALFREDO BAQUERIZO MORENO (JUJAN);17.512;5Pro;
161Can;DAULE;173.684;5Pro;
162Can;URBINA (EL SALITRE (LAS RAMAS), CAB CANTONAL);65.765;5Pro;
163Can;PEDRO CARBO;51.802;5Pro;
164Can;MONTALVO;16.966;16Pro;
165Can;VENTANAS;76.104;16Pro;
166Can;CORONEL MARCELINO MARIDUEÑA;13.132;5Pro;
167Can;BALZAR;60.260;5Pro;
168Can;CHONE;52.810;12Pro;
169Can;SANTA LUCIA;45.004;5Pro;
170Can;SAN JACINTO DE YAGUACHI;13.395;5Pro;
171Can;BUENA FE;63.000;16Pro;
172Can;QUINSALOMA;4.573;16Pro;
173Can;EL EMPALME;86.073;5Pro;
174Can;BOLÍVAR;184.000;20Pro;
175Can;NOBOL;40.000;5Pro;
176Can;LOMAS DE SARGENTILLO;24.220;5Pro;
177Can;MIRA;2.896;19Pro;
178Can;PIMAMPIRO;7.687;24Pro;
179Can;PEDRO MONCAYO;25.594;4Pro;
180Can;NANGARITZA;5.196;13Pro;
181Can;CALVAS;28.185;11Pro;
182Can;PALTAS;23.801;11Pro;
183Can;ZAPOTILLO;12.312;11Pro;
184Can;GONZANAMÁ;1.539;11Pro;
185Can;CELICA;3.693;11Pro;
186Can;BABA;5.368;16Pro;
187Can;ESPÍNDOLA;14.799;11Pro;
188Can;OLMEDO;4.902;12Pro;
189Can;CHAGUARPAMBA;7.161;11Pro;
190Can;EL CARMEN;456.244;12Pro;
191Can;PALANDA;3.550;13Pro;
192Can;CENTINELA DEL CONDOR;6.479;13Pro;
193Can;VALENCIA;56.835;16Pro;
194Can;MOCACHE;8.028;16Pro;
