CodLugar;Nombre;CodProvincia
LT02;Río Santa Bárbara;1Pro
LT03;Represa de Paute;1Pro
LT04;El Turi;1Pro
LT05;Cascada Irha;1Pro
LT06;Parque Nacional Cajas;1Pro
LT07;Reserva faunística el 22Pro;20Pro
LT08;Complejo turístico las cochas;20Pro
LT09;Santuario De La Virgen del Huayco;20Pro
LT10;Cuevas de Tiagua;20Pro
LT11;Volcan Carihuairazo;20Pro
LT12;Complejo turístico Ingapirca;15Pro
LT13;Lagunas de culebrillas;15Pro
LT14;Museo de Guantug;15Pro
LT15;Catedral de Azogues;15Pro
LT16;Cementerio de Tulcán;19Pro
LT17;Reserva Ecológica El Ángel;19Pro
LT18;Gruta De La Paz;19Pro
LT19;Lagunas Verdes;19Pro
LT20;Reserva Awa;19Pro
LT21;Iglesia de Balbanera;22Pro
LT22;Laguna Del Atillo;22Pro
LT23;Laguna de Colta;22Pro
LT24;La Nariz Del Diablo;22Pro
LT25;Laguna de Azogoche;22Pro
LT26;Parque Nacional De 23Pro;23Pro
LT27;Laguna De Quilatoa;23Pro
LT28;Parque Nacional Ilinizas;23Pro
LT29;Santuario De Cuicuno;23Pro
LT30;Archipiélago de Jambelí;10Pro
LT31;Balneario La Chocha;10Pro
LT32;Isla Santa Clara;10Pro
LT33;Cerro Dos Arcos;10Pro
LT34;Cantón Chilla;10Pro
LT35;Playa De Oro;2Pro
LT36;Reserva Ecológica Cayambe Coca;2Pro
LT37;Reserva Ecológica Cotacachi Cayapas;2Pro
LT38;Lago De Muisne;2Pro
LT39;Playa Las Peñas;2Pro
LT40;Isla Santa Cruz;14Pro
LT41;Isla Isabela;14Pro
LT42;Isla Bartolomé;14Pro
LT43;Isla Fernandina;14Pro
LT44;Isla San Cristóbal;14Pro
LT45;El Faro;5Pro
LT46;Parque Histórico De Guayaquil;5Pro
LT47;Hacienda Jambelí;5Pro
LT48;Malecón 2000;5Pro
LT49;Museo Histórico De Abdón Calderón;5Pro
LT50;Otavalo;24Pro
LT51;Lago De San Pablo;24Pro
LT52;Yahuarcocha;24Pro
LT53;Ibarra;24Pro
LT54;Valle Del Chota;24Pro
LT55;Basílica Del Cisne;11Pro
LT56;Parque Podocarpus;11Pro
LT57;Vilcabamba;11Pro
LT58;Iglesia Catedral;11Pro
LT59;Plaza De La Independencia;11Pro
LT60;Parque Recreacional Jipiro;11Pro
LT61;Casa De Olmedo;16Pro
LT62;Playas Del Salto;16Pro
LT64;Zoo el Pantanal;16Pro
LT65;Puerto López;12Pro
LT66;Parque Nacional Machalilla;12Pro
LT67;Portoviejo;12Pro
LT68;Ayampe;12Pro
LT69;Playas Del Murciélago;12Pro
LT70;Cascada Lucy;6Pro
LT71;Rio Morona;6Pro
LT72;Valle Del Rio Upano;6Pro
LT73;Cuevas Los Tayos;6Pro
LT74;Cuevas De Loras Y Golondrinas;6Pro
LT75;Tena;7Pro
LT76;Parque Nacional Archidona;7Pro
LT77;Cascada San Rafael;7Pro
LT78;Puerto Misahuallí;7Pro
LT79;Cavernas Del Jumandy;7Pro
LT80;Parque Nacional Yasuní;9Pro
LT81;Rio 7Pro;9Pro
LT82;Cascada La Belleza;9Pro
LT83;Museo Cicame;9Pro
LT85;Parque Acuático Montero Puyo;8Pro
LT86;Cascada Hola Vida;8Pro
LT87;Zoocriadero De Fátima;8Pro
LT88;Dique De Mera;8Pro
LT89;Parque Real;8Pro
LT90;Centro Histórico De Quito;4Pro
LT91;Mital Del Mundo;4Pro
LT92;Parque Nacional Ilinizas;4Pro
LT93;Cascada Salto Del Tigre;4Pro
LT94;Fuentes De Tesalia;4Pro
LT95;Museo Los Amantes De Sampa;3Pro
LT96;Salinas;3Pro
LT97;Montañita;3Pro
LT98;Puerto De Carnero;3Pro
LT99;Acuario De Valdivia;3Pro
LT100;Santo Domingo;21Pro
LT101;Parque Zacay;21Pro
LT102;Complejo Turistico Rio Cristal;21Pro
LT103;Bosque La Perla;21Pro
LT104;Reserva Faunística Cuyabeno;18Pro
LT105;Laguna Delfincocha;18Pro
LT106;Rio Aguarico;18Pro
LT107;Laguna Grande;18Pro
LT108;Selva Virgen;18Pro
LT109;Baños De Agua Santa;17Pro
LT110;Parque La Familia En Ambato;17Pro
LT111;Casa De Montalvo En Ambato;17Pro
LT112;La Cordillera de los Llangantes;17Pro
LT113;El Cariguairazo;17Pro
LT114;Rio Bomboscaro;13Pro
LT115;Cascada La Chismosa;13Pro
LT116;Cascada El Oso;13Pro
LT117;El Reloj Las Grande Del Mundo;13Pro
