CodParroquia;NomParroquia;CodCanton;;;
1P;CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.;1Can;;;
2P;EL SAGRARIO;1Can;;;
3P;TONSUPA;2Can;;;
4P;COLONCHE;3Can;;;
5P;HUAYNACÁPAC;1Can;;;
6P;CUMBAYÁ;4Can;;;
7P;GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL;5Can;;;
8P;GENERAL LEONIDAS PLAZA GUTIÉRREZ, CABECERA CANTONAL;6Can;;;
9P;GIL RAMÍREZ DÁVALOS;1Can;;;
10P;SUCRE;1Can;;;
11P;TENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;7Can;;;
12P;SEVILLA DON BOSCO;8Can;;;
13P;QUITO;4Can;;;
14P;SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL;9Can;;;
15P;SAN BLAS;1Can;;;
16P;GUALACEO, CABECERA CANTONAL;10Can;;;
17P;PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;11Can;;;
18P;SANGOLQUÍ, CABECERA CANTONAL;12Can;;;
19P;ALANGASÍ;4Can;;;
20P;JESUS MARIA;13Can;;;
21P;MONAY;1Can;;;
22P;EL BATÁN;1Can;;;
23P;LA JOYA DE LOS SACHAS, CABECERA CANTONAL;14Can;;;
24P;BUENAVISTA;189Can;;;
25P;GIRÓN, CABECERA CANTONAL;16Can;;;
26P;MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL;8Can;;;
27P;SINAI;8Can;;;
28P;MILTON REYES;17Can;;;
29P;LA DOLOROSA DEL PRIORATO;18Can;;;
30P;SAN SEBASTIÁN;1Can;;;
31P;SAN FRANCISCO DE CHINIMBIMI;19Can;;;
32P;CHORDELEG, CABECERA CANTONAL;20Can;;;
33P;SUCÚA, CABECERA CANTONAL;21Can;;;
34P;FATIMA;11Can;;;
35P;EL CHACO, CABECERA CANTONAL;22Can;;;
36P;SAYAUSÍ;1Can;;;
37P;SEVILLA DE ORO, CABECERA CANTONAL;23Can;;;
38P;CAÑARIBAMBA;1Can;;;
39P;RICAURTE;168Can;;;
40P;LOGROÑO, CABECERA CANTONAL;24Can;;;
41P;SALINAS, CABECERA CANTONAL;25Can;;;
42P;BAÑOS;1Can;;;
43P;VILCABAMBA (VICTORIA);26Can;;;
44P;EL VECINO;1Can;;;
45P;GUALAQUIZA, CABECERA CANTONAL;27Can;;;
46P;MANTA, CABECERA CANTONAL;28Can;;;
47P;ZAMORA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;29Can;;;
48P;MANGLARALTO;3Can;;;
49P;AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL;30Can;;;
50P;PUERTO FRANCISCO DE ORELLANA (EL COCA), CABECERA CANTONAL Y CAPITAL PROVINCIAL;31Can;;;
51P;YANUNCAY;1Can;;;
52P;SANGAY (CAB. EN NAYAMANACA);32Can;;;
53P;PUERTO AYORA, CABECERA CANTONAL;33Can;;;
54P;OÑA, SAN FELIPE DE OÑA CAB CANTONAL;34Can;;;
55P;JOSE LUIS TAMAYO (MUEY);25Can;;;
56P;PAUTE, CABECERA CANTONAL;35Can;;;
57P;PUERTO QUITO, CABECERA CANTONAL;36Can;;;
58P;SIGSIG, CABECERA CANTONAL;37Can;;;
59P;LA TRONCAL, CABECERA CANTONAL;38Can;;;
60P;MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;39Can;;;
61P;PUERTO BOLÍVAR;39Can;;;
62P;TARQUI;11Can;;;
63P;VINCES, CABECERA CANTONAL;40Can;;;
64P;BIBLIÁN, CABECERA CANTONAL;41Can;;;
65P;TURI;1Can;;;
66P;MATRIZ;42Can;;;
67P;PUERTO LÓPEZ, CABECERA CANTONAL;43Can;;;
68P;VICTORIA DEL PORTETE (IRQUIS);1Can;;;
69P;ABDÓN CALDERÓN (LA UNIÓN);9Can;;;
70P;BELLAVISTA;33Can;;;
71P;TOTORACOCHA ;1Can;;;
72P;TUMBACO;4Can;;;
73P;SHUSHUFINDI, CABECERA CANTONAL;44Can;;;
74P;SAN GABRIEL, CABECERA CANTONAL;45Can;;;
75P;SAN JUAN BOSCO, CABECERA CANTONAL;46Can;;;
76P;SANTIAGO DE MÉNDEZ, CABECERA CANTONAL;19Can;;;
77P;ÁNGEL POLIBIO CHÁVES;47Can;;;
78P;EL TRIUNFO, CABECERA CANTONAL;48Can;;;
79P;PUERTO VILLAMIL, CABECERA CANTONAL;49Can;;;
80P;TARIFA;50Can;;;
81P;SAN FELIPE DE OÑA, CABECERA CANTONAL;34Can;;;
82P;NULTI;1Can;;;
83P;SAN FERNANDO, CABECERA CANTONAL;51Can;;;
84P;JAVIER LOYOLA (CHUQUIPATA);30Can;;;
85P;PEDERNALES, CABECERA CANTONAL;52Can;;;
86P;SANTO DOMINGO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;53Can;;;
87P;VELASCO;54Can;;;
88P;SAN JOAQUÍN;1Can;;;
89P;ASUNCIÓN;16Can;;;
90P;COJIMÍES;52Can;;;
91P;LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;26Can;;;
92P;VALLE;1Can;;;
93P;MARIANO MORENO;10Can;;;
94P;SIMÓN BOLÍVAR (CAB. EN GAÑANZOL);10Can;;;
95P;CAYAMBE, CABECERA CANTONAL;55Can;;;
96P;VENTURA;56Can;;;
97P;GUACHAPALA, CABECERA CANTONAL;57Can;;;
98P;CASACAY;15Can;;;
99P;SIDCAY;1Can;;;
100P;TOTORACOCHA;1Can;;;
101P;PRESIDENTE URBINA (CHAGRAPAMBA PATZUCUL);58Can;;;
102P;GENERAL ALBERTO ENRÍQUEZ GALLO;25Can;;;
103P;PUCARÁ, CABECERA CANTONAL;59Can;;;
104P;CUMBE;1Can;;;
